ASV_ID	CaS3_S35_L001	CaS4_S47_L001	TgS1_S11_L001	TgS2_S23_L001	UpS5_S59_L001
ASV1	0	0	0	3230	0
ASV2	0	0	0	3022	0
ASV3	12	0	0	2936	0
ASV4	0	0	0	2216	0
ASV5	0	0	0	1193	0
ASV6	0	0	0	1107	0
ASV7	0	0	0	1040	0
ASV8	0	0	549	82	0
ASV9	0	0	455	83	0
ASV10	73	111	241	18	0
ASV11	45	0	371	0	0
ASV12	57	66	237	46	0
ASV13	76	78	230	0	0
ASV14	0	0	284	60	0
ASV15	265	0	0	50	0
ASV16	0	0	0	0	283
ASV17	52	63	167	0	0
ASV18	0	0	0	0	266
ASV19	0	0	0	0	263
ASV20	183	78	0	0	0
ASV21	0	0	0	0	261
ASV22	54	204	0	0	0
ASV23	42	110	0	0	98
ASV24	0	96	0	76	74
ASV25	46	54	86	50	0
ASV26	177	56	0	0	0
ASV27	175	55	0	0	0
ASV28	0	0	0	0	230
ASV29	0	0	0	0	228
ASV30	0	0	0	0	226
ASV31	85	105	31	0	0
ASV32	54	164	0	0	0
ASV33	150	53	0	0	9
ASV34	61	56	32	63	0
ASV35	11	51	0	0	146
ASV36	0	39	24	15	129
ASV37	0	0	0	0	207
ASV38	104	100	0	0	0
ASV39	18	60	63	61	0
ASV40	0	0	0	0	201
ASV41	200	0	0	0	0
ASV42	40	29	52	0	79
ASV43	0	39	0	0	151
ASV44	35	73	46	33	0
ASV45	0	54	0	85	48
ASV46	0	0	0	0	187
ASV47	0	0	0	0	182
ASV48	84	97	0	0	0
ASV49	49	132	0	0	0
ASV50	0	0	107	74	0
ASV51	0	0	0	0	176
ASV52	0	103	0	0	72
ASV53	172	0	0	0	0
ASV54	0	0	0	0	171
ASV55	0	40	0	0	129
ASV56	42	0	58	66	0
ASV57	81	8	30	44	0
ASV58	111	0	50	0	0
ASV59	51	110	0	0	0
ASV60	57	103	0	0	0
ASV61	0	43	0	58	59
ASV62	0	36	0	16	108
ASV63	0	0	94	65	0
ASV64	0	86	72	0	0
ASV65	49	0	0	43	65
ASV66	40	65	0	0	51
ASV67	35	63	0	46	12
ASV68	72	82	0	0	0
ASV69	37	0	63	54	0
ASV70	0	0	71	83	0
ASV71	124	0	29	0	0
ASV72	23	30	70	30	0
ASV73	0	0	0	0	153
ASV74	151	0	0	0	0
ASV75	29	112	0	0	10
ASV76	28	56	41	26	0
ASV77	0	0	0	0	151
ASV78	0	35	0	0	115
ASV79	0	83	0	0	66
ASV80	41	22	34	9	42
ASV81	0	73	68	0	7
ASV82	147	0	0	0	0
ASV83	0	0	0	0	145
ASV84	29	14	50	50	0
ASV85	29	47	38	28	0
ASV86	66	75	0	0	0
ASV87	16	44	9	71	0
ASV88	0	49	20	55	16
ASV89	68	0	0	0	70
ASV90	0	88	45	5	0
ASV91	49	0	88	0	0
ASV92	93	0	43	0	0
ASV93	45	0	0	0	91
ASV94	0	72	63	0	0
ASV95	73	47	14	0	0
ASV96	52	0	0	18	63
ASV97	25	107	0	0	0
ASV98	43	88	0	0	0
ASV99	0	45	51	33	0
ASV100	62	0	66	0	0
ASV101	0	38	39	51	0
ASV102	0	0	0	0	127
ASV103	32	12	44	0	38
ASV104	0	31	64	31	0
ASV105	0	0	92	34	0
ASV106	0	0	0	0	126
ASV107	86	0	0	39	0
ASV108	65	49	0	0	10
ASV109	26	50	48	0	0
ASV110	0	122	0	0	0
ASV111	0	0	0	0	122
ASV112	53	45	0	23	0
ASV113	31	90	0	0	0
ASV114	0	76	45	0	0
ASV115	0	48	43	30	0
ASV116	0	29	0	0	92
ASV117	0	0	71	50	0
ASV118	52	46	22	0	0
ASV119	0	19	34	67	0
ASV120	0	0	0	0	120
ASV121	47	48	0	24	0
ASV122	77	41	0	0	0
ASV123	117	0	0	0	0
ASV124	61	0	0	0	56
ASV125	0	0	117	0	0
ASV126	49	57	0	10	0
ASV127	48	0	68	0	0
ASV128	0	36	37	43	0
ASV129	0	0	0	0	116
ASV130	33	0	82	0	0
ASV131	0	89	0	0	26
ASV132	79	34	0	0	0
ASV133	67	0	46	0	0
ASV134	12	34	67	0	0
ASV135	0	0	0	0	113
ASV136	0	48	64	0	0
ASV137	70	41	0	0	0
ASV138	44	0	0	0	67
ASV139	37	60	14	0	0
ASV140	34	58	0	0	19
ASV141	0	51	33	26	0
ASV142	0	105	0	0	4
ASV143	0	78	31	0	0
ASV144	79	29	0	0	0
ASV145	0	62	46	0	0
ASV146	18	46	0	43	0
ASV147	0	63	0	44	0
ASV148	42	64	0	0	0
ASV149	38	0	0	0	68
ASV150	22	0	46	38	0
ASV151	0	80	26	0	0
ASV152	77	0	0	28	0
ASV153	51	51	3	0	0
ASV154	104	0	0	0	0
ASV155	65	0	39	0	0
ASV156	63	41	0	0	0
ASV157	51	0	0	53	0
ASV158	47	0	29	28	0
ASV159	38	22	0	44	0
ASV160	0	63	41	0	0
ASV161	0	44	60	0	0
ASV162	46	39	0	18	0
ASV163	40	63	0	0	0
ASV164	0	76	0	27	0
ASV165	0	44	23	36	0
ASV166	0	0	0	0	103
ASV167	0	0	0	0	103
ASV168	102	0	0	0	0
ASV169	42	0	30	30	0
ASV170	0	0	0	0	102
ASV171	48	53	0	0	0
ASV172	0	42	0	59	0
ASV173	0	14	43	44	0
ASV174	0	0	0	0	101
ASV175	50	50	0	0	0
ASV176	42	0	58	0	0
ASV177	8	32	0	60	0
ASV178	0	0	86	14	0
ASV179	0	39	0	0	60
ASV180	38	40	0	20	0
ASV181	0	68	0	0	30
ASV182	39	0	0	0	58
ASV183	34	0	29	34	0
ASV184	0	67	0	30	0
ASV185	66	29	0	0	0
ASV186	53	0	42	0	0
ASV187	49	46	0	0	0
ASV188	0	41	54	0	0
ASV189	58	0	0	36	0
ASV190	56	38	0	0	0
ASV191	43	51	0	0	0
ASV192	35	15	0	0	44
ASV193	23	35	36	0	0
ASV194	93	0	0	0	0
ASV195	93	0	0	0	0
ASV196	57	14	22	0	0
ASV197	0	60	0	33	0
ASV198	0	0	0	0	93
ASV199	61	0	0	0	31
ASV200	0	42	0	50	0
ASV201	0	41	51	0	0
ASV202	0	0	92	0	0
ASV203	0	0	63	29	0
ASV204	0	0	61	31	0
ASV205	0	91	0	0	0
ASV206	0	42	49	0	0
ASV207	0	0	91	0	0
ASV208	58	14	0	18	0
ASV209	0	90	0	0	0
ASV210	89	0	0	0	0
ASV211	46	43	0	0	0
ASV212	37	0	31	21	0
ASV213	32	29	0	28	0
ASV214	0	50	39	0	0
ASV215	0	10	50	29	0
ASV216	0	9	33	21	26
