ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	uncultured bacterium
ASV2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	uncultured bacterium
ASV3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	uncultured bacterium
ASV4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	uncultured bacterium
ASV5	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	uncultured bacterium
ASV6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	uncultured bacterium
ASV7	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	uncultured bacterium
ASV8	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	uncultured	uncultured bacterium
ASV9	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	uncultured	uncultured bacterium
ASV10	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Sideroxydans	uncultured bacterium
ASV11	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	uncultured	uncultured bacterium
ASV12	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Sideroxydans	uncultured bacterium
ASV13	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Sideroxydans	uncultured bacterium
ASV14	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	uncultured	uncultured bacterium
ASV15	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	uncultured bacterium
ASV16	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	uncultured	uncultured bacterium
ASV17	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Sideroxydans	uncultured bacterium
ASV18	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Denitratisoma	uncultured bacterium
ASV19	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	uncultured	uncultured bacterium
ASV20	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured bacterium
