"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78","bin79","bin80","bin81","bin82","bin83","bin84","bin85","bin86","bin87","bin88","bin89","bin90","bin91","bin92","bin93","bin94","bin95","bin96","bin97","bin98","bin99","bin100","bin101","bin102","bin103","bin104","bin105","bin106","bin107","bin108"
"CbMPDiCbraya","host","C","HeS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230973988396328,0,0,0,0,0,0.0101698345013296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CbMPDiCbraya","host","C","HoS",0.0242625161903995,0,0,0.0186052827604416,0,0,0,0,0,0,0.00946553925109862,0,0,0,0,0,0.0105708927260016,0.0012588969137337,0,0.00414611971469866,0,0,0,0.0122599414093134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00997083257572338,0,0,0.00706691794974128,0.00451979627962008,0.00789893759386908,0.00336631351256897,0,0,0,0,0.00589071302491978,0.015746990062809,0,0.0108671121561211,0,0,0,0,0,0.00251196944999227,0,0,0,0,0,0,0.0195613829016419,0,0,0,0,0.00841008363843844,0,0.0114628680300364,0,0,0,0.0112689516882012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0087453334832587,0,0,0,0,0,0,0,0,0
"CbMPDiCbraya","host","C","DL",0,0,0,0,0.00435227433484901,0.00946009844171024,0.0111062810294537,0.011631952589624,0,0,0,0,0.0132569472919441,0.00824719285317801,0,0.0221271567509183,0,0,0,0,0.00335855712342528,0,0.00869621692842417,0,0.00828620909664406,0.025003100193785,0.016840517169953,0,0,0,0.00774014512969334,0,0,0.0121316274920518,0.00769316654180549,0.0218749399493928,0,0,0.00431656093382466,0.0123639988964576,0,0,0,0,0.0107234772446154,0.0208678620978631,0.00789194834089892,0,0,0,0,0,0,0,0.0104004373356408,0,0,0,0,0.017604192727961,0,0.0346040918854546,0.0180757471769342,0,0,0.00674544065558324,0,0,0,0,0,0,0.0039510243261337,0.0157514577807457,0.00315258011608357,0,0.00699041973515625,0.0112033209211582,0.0104056721897511,0.00446777462166535,0.00500900147382731,0.00845412878073663,0,0.00560807436141913,0,0,0,0,0.00943697854461835,0,0,0,0,0.00824253335119791,0.0110027988944396,0.00375495584611709,0,0,0,0.0052260377127544,0.00662216980838847,0.00727717089097633,0,0.00770968075401399,0,0.00768483480053165,0.0188066286082727,0
"CbMPDiCbraya","host","C","HD",0,0,0,0,0,0,0,0,0.00101565806178587,0.000613626745662294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014916518862263,0.00267755938309479,0,0.0138366575491462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CbMPDiCbraya","host","C","DR",0,0.00837783652142971,0.00274220288745143,0,0,0,0,0,0,0,0,0.00342455728732033,0,0,0.011018311672727,0,0,0,0.00179351808101226,0,0,0.00232619306538753,0,0,0,0,0,0.00618676901346534,0.00271424587557078,0.00239161787715244,0,0.00448098599143215,0.00189213475876808,0,0,0,0.0144939316977852,0,0,0,0,0,0,0,0,0,0,0.00300310665586806,0,0,0.00107778003110907,0,0,0,0,0,0.00406128975883978,0,0.0199076919780476,0,0,0,0,0.00653189904314123,0,0,0,0.00329041899258355,0.00107195565363394,0,0.011422495127032,0,0,0,0,0,0,0,0,0,0,0,0.00880764723662529,0,0.00370856678159412,0.00591983491229546,0.0125860640342168,0.00396557818420417,0,0.0201066655611844,0.0061867548422306,0.023061820537713,0.00836910704083437,0,0,0,0.00177235853805839,0.00379009389501129,0,0,0,0,0.00356937124555574,0,0.0160733611566947,0,0,0.0129566720544441
"CbMPDiCbraya","host","T","HeS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118754647070487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CbMPDiCbraya","host","T","HoS",0,0,0,0,0.00246455834242094,0,0.00908096436006741,0,0,0,0,0.00673608357291563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00355578343412313,0.00600652448696342,0,0,0,0,0,0,0,0.00585568057896302,0,0,0,0,0,0,0.0271640477842768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240687270744523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000832383265589372,0,0,0,0,0.0045326905918509,0,0,0,0,0,0,0.00816093734509765
"CbMPDiCbraya","host","T","DL",0,0,0,0,0,0,0,0,0.0128773111430554,0.010283006592644,0,0,0,0,0,0,0,0.00948402027361951,0.00868574650540299,0,0,0.00455434594031922,0,0,0,0,0,0,0,0.00420801526717557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00383875904629721,0,0,0,0,0,0,0.0022809680777238,0,0.0163214099831466,0.0134041030534351,0,0.311666625359373,0,0.00479825517993457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588340809953405,0,0,0,0,0
"CbMPDiCbraya","host","T","HD",0.00515288861901457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027453653217012,0.00981994150887281,0,0,0,0,0,0,0,0,0.00582603226925746,0,0,0,0,0,0,0,0,0,0.00280552939426985,0,0,0,0,0,0,0,0,0,0,0,0,0.00570300882323783,0.00280720233964509,0,0.0193108084663428,0.00917529989094875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276661792406067,0,0,0,0,0,0.00905147095271141,0.00542914146921781,0,0,0,0,0,0,0,0,0,0,0.000720295925448597,0.0016678026172301,0,0,0
"CbMPDiCbraya","host","T","DR",0,0.00689275180925944,0.00266763532269257,0.009721206751264,0,0.00134672102706454,0,0.00933094577178547,0,0,0.00467569644096362,0,0.00341733171408744,0.00732152151283831,0.017638327798156,0.00592030583919897,0.00322646103896104,0,0,0.00413499429959354,0.0019681892534946,0,0.0021669599484485,0.00430963120848617,0.00150713790026767,0,0,0.0082271426092991,0.00303274016060276,0,0.00409704322395162,0,0,0.00589059556855358,0.00215936973332012,0,0.00683426068206603,0.00706339223753346,0.00164558962030336,0.00479057202339645,0,0.00242453157529493,0.00737105928422722,0,0.00268944557351046,0,0.00197218573411322,0,0.00336748413799941,0.00711045157132943,0,0.0142662895310796,0,0,0.0017702240507584,0,0.00906810746505403,0,0,0,0.00652572618221473,0,0,0.00860544512739169,0.0308614739268365,0,0.00332538167938931,0.00584105779716467,0.0064018972439774,0.00860848121344305,0.0169752837811044,0.00777817363933776,0.00198225438683454,0.00709031426588679,0.000779096857341132,0.00585583548131258,0.00329254238128284,0.00222520323188262,0.00277253519381382,0.000654307524536532,0.0045350760880341,0.00449944854763557,0.00614640130861505,0.00249259566769109,0.00312013606622385,0,0.0123761400812928,0,0.00665658768712204,0.0157148433627441,0.00666513829681769,0,0,0.0070374306037474,0.00360962749082978,0,0.00216240581937147,0.00898532764944979,0.0205116114801229,0.00328783334985625,0,0.00168657678199663,0,0,0,0.00429773470804005,0.0066744014573213,0
