"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.Kingdom","TopTaxon.Phylum","TopTaxon.Class","TopTaxon.Order","TopTaxon.Family","TopTaxon.Genus","TopTaxon.Species","Kingdom.maxNamed","Kingdom.maxNamed.Percent","Phylum.maxNamed","Phylum.maxNamed.Percent","Class.maxNamed","Class.maxNamed.Percent","Order.maxNamed","Order.maxNamed.Percent","Family.maxNamed","Family.maxNamed.Percent","Genus.maxNamed","Genus.maxNamed.Percent","Species.maxNamed","Species.maxNamed.Percent"
"Bin1",0.014707702404707,"ASV33",0.151965222741369,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","OLB15","uncultured bacterium","Bacteria",1,"Chloroflexi",1,"Anaerolineae",1,"SBR1031",1,"A4b",1,"OLB15",0.660989017037182,"uncultured bacterium",1
"Bin2",0.00763529416534458,"ASV97",0.184811580023744,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured","uncultured bacterium","Bacteria",1,"Chloroflexi",1,"Anaerolineae",1,"SBR1031",1,"A4b",1,"uncultured",1,"uncultured bacterium",1
"Bin3",0.002704919105072,"ASV877",0.144718392469713,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured","uncultured bacterium","Bacteria",1,"Chloroflexi",1,"Anaerolineae",1,"SBR1031",1,"A4b",1,"uncultured",0.881778438086231,"uncultured bacterium",1
"Bin4",0.0141632447558528,"ASV31",0.169291904374023,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured","uncultured bacterium","Bacteria",1,"Chloroflexi",1,"Anaerolineae",1,"SBR1031",1,"A4b",1,"uncultured",1,"uncultured bacterium",1
"Bin5",0.00340841633863497,"ASV223",0.27783056368575,"Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,"uncultured","uncultured bacterium","Bacteria",1,"Chloroflexi",1,"Anaerolineae",1,"SBR1031",1,"A4b",1,"uncultured",1,"uncultured bacterium",1
"Bin6",0.00540340973438739,"ASV137",0.22488120205521,"Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales",NA,"uncultured","uncultured bacterium","Bacteria",1,"Chloroflexi",1,"Anaerolineae",1,"Ardenticatenales",0.81323945825085,"A4b",1,"uncultured",1,"uncultured bacterium",1
"Bin7",0.0100936226947605,"ASV219",0.0966031814745277,"Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium","Bacteria",1,"Chloroflexi",0.978070691746156,"Anaerolineae",0.677817265523149,"Caldilineales",0.740915148379552,"Caldilineaceae",0.758439970790936,"uncultured",1,"uncultured bacterium",1
"Bin8",0.0104814491807048,"ASV374",0.0692216874861999,"Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9",NA,"uncultured","uncultured bacterium","Bacteria",1,"Chloroflexi",1,"Anaerolineae",0.994797892342493,"RBG-13-54-9",0.454965400735985,"Anaerolineaceae",1,"uncultured",1,"uncultured bacterium",1
"Bin9",0.00694648460242064,"ASV248",0.127527965236307,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured","uncultured bacterium","Bacteria",1,"Chloroflexi",1,"Anaerolineae",1,"Anaerolineales",1,"Anaerolineaceae",1,"uncultured",0.461710633437854,"uncultured bacterium",1
"Bin10",0.00544831666915315,"ASV125",0.234182363163659,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured","uncultured bacterium","Bacteria",1,"Chloroflexi",1,"Anaerolineae",1,"Anaerolineales",1,"Anaerolineaceae",1,"uncultured",0.630454017148065,"uncultured bacterium",1
"Bin11",0.00707061784603112,"ASV107",0.191729785822279,"Bacteria","Chloroflexi","KD4-96",NA,NA,"uncultured","uncultured bacterium","Bacteria",1,"Chloroflexi",0.752959447647699,"KD4-96",0.759542695762396,"DTU014",0.778786068215182,"Endomicrobiaceae",0.692307692307692,"uncultured",0.97994989498749,"uncultured bacterium",1
"Bin12",0.00508032043011798,"ASV395",0.13523219848308,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","uncultured","uncultured bacterium","Bacteria",1,"Firmicutes",0.806874594648853,"Negativicutes",0.867787326351244,"Veillonellales-Selenomonadales",0.77459874097453,"Sporomusaceae",0.77459874097453,"uncultured",0.863911176406082,"uncultured bacterium",1
"Bin13",0.00833713950301578,"ASV148",0.137447401658121,"Bacteria","Fibrobacterota","Chitinivibrionia",NA,NA,"uncultured","uncultured bacterium","Bacteria",1,"Fibrobacterota",0.832991568915146,"Chitinivibrionia",0.561546637639748,"Fibrobacterales",0.782687869933499,"Fibrobacteraceae",0.7571523748763,"uncultured",0.778512138072694,"uncultured bacterium",1
"Bin14",0.00778435718300816,"ASV184",0.130162039333129,"Bacteria","Bacteroidota","Ignavibacteria","SJA-28",NA,"uncultured","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Ignavibacteria",0.396221163538048,"SJA-28",0.396221163538048,"BSV26",0.802405946301225,"uncultured",1,"uncultured bacterium",1
"Bin15",0.0143283197354415,"ASV84",0.106389469357516,"Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","PHOS-HE36","uncultured","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Ignavibacteria",0.840084051223187,"Ignavibacteriales",0.840084051223187,"Ignavibacteriaceae",0.241559807964943,"uncultured",0.609136254206505,"uncultured bacterium",1
"Bin16",0.0140237312950586,"ASV159",0.0786771702363569,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Hassallia","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Cytophagales",1,"Microscillaceae",1,"Ohtaekwangia",0.336789749980708,"uncultured bacterium",1
"Bin17",0.00689867688248131,"ASV317",0.105305701508976,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","OLB12","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Cytophagales",1,"Microscillaceae",0.834863788578372,"uncultured",0.611011464816384,"uncultured bacterium",1
