ds,n.min,binID,temperature.pearson.r,pH.pearson.r,DO.pearson.r,Ammonium.pearson.r,Phosphate.pearson.r,Elect_cond.pearson.r,Evapotranspiration.pearson.r,COD.pearson.r,temperature.pearson.p,pH.pearson.p,DO.pearson.p,Ammonium.pearson.p,Phosphate.pearson.p,Elect_cond.pearson.p,Evapotranspiration.pearson.p,COD.pearson.p,abu
0.2,12,bin7,0.00983635168311552,-0.120813990709178,0.00983635168311635,0.00983635168311633,0.00983635168311636,0.00983635168311627,0.00983635168311634,0.00983635168311634,0.31,0.942,0.301,0.286,0.314,0.301,0.316,0.291,0.0100494880254938
0.2,12,bin5,-0.0703755790497515,NA,-0.0703755790497506,-0.0703755790497506,-0.0703755790497506,-0.0703755790497506,-0.0703755790497506,-0.0703755790497506,0.78,NA,0.785,0.79,0.81,0.791,0.782,0.781,0.00340841633863497
0.2,12,bin1,0.206184985087225,-0.132356296150593,0.206184985087228,0.206184985087228,0.206184985087228,0.206184985087228,0.206184985087228,0.206184985087228,0.036,0.861,0.03,0.03,0.03,0.032,0.037,0.027,0.014707702404707
0.2,12,bin2,0.113409337728166,NA,0.113409337728164,0.113409337728164,0.113409337728164,0.113409337728164,0.113409337728164,0.113409337728164,0.039,NA,0.046,0.05,0.051,0.046,0.051,0.053,0.00763529416534458
0.2,12,bin3,-0.108095033070443,NA,-0.108095033070443,-0.108095033070443,-0.108095033070443,-0.108095033070443,-0.108095033070443,-0.108095033070443,0.998,NA,0.997,0.996,0.997,0.995,0.997,0.995,0.002704919105072
0.2,12,bin4,-0.0266303463402166,-0.0747113614352568,-0.0266303463402193,-0.0266303463402193,-0.0266303463402193,-0.0266303463402193,-0.0266303463402193,-0.0266303463402193,0.648,0.61,0.647,0.6,0.626,0.644,0.643,0.625,0.0141632447558528
0.2,12,bin6,0.0226028190668829,-0.137358814436916,0.0226028190668848,0.0226028190668848,0.0226028190668848,0.0226028190668848,0.0226028190668848,0.0226028190668848,0.458,0.796,0.505,0.471,0.477,0.51,0.492,0.495,0.00540340973438739
0.2,12,bin8,0.0297946978088759,-0.098814491204642,0.0297946978088765,0.0297946978088765,0.0297946978088765,0.0297946978088765,0.0297946978088765,0.0297946978088765,0.131,0.959,0.126,0.113,0.114,0.127,0.137,0.12,0.0104591247622559
0.2,12,bin9,-0.115981782935522,-0.101581489271851,-0.115981782935522,-0.115981782935522,-0.115981782935522,-0.115981782935522,-0.115981782935522,-0.115981782935522,0.743,0.71,0.774,0.757,0.753,0.766,0.77,0.73,0.00694648460242064
0.2,12,bin10,0.124086761982721,0.244821663373078,0.12408676198272,0.12408676198272,0.12408676198272,0.12408676198272,0.12408676198272,0.12408676198272,0.062,0.015,0.073,0.071,0.084,0.066,0.072,0.07,0.00544831666915315
0.2,12,bin11,0.128776518626776,-0.149765386652018,0.128776518626774,0.128776518626774,0.128776518626774,0.128776518626774,0.128776518626774,0.128776518626774,0.017,0.96,0.02,0.018,0.026,0.016,0.02,0.019,0.00707061784603112
0.2,12,bin12,0.0588544231713376,0.152777964171269,0.0588544231713384,0.0588544231713384,0.0588544231713384,0.0588544231713383,0.0588544231713384,0.0588544231713384,0.169,0.248,0.144,0.184,0.161,0.148,0.175,0.154,0.00505916088716411
0.2,12,bin13,0.129412735717696,0.108374187824686,0.129412735717696,0.129412735717696,0.129412735717695,0.129412735717696,0.129412735717696,0.129412735717696,0.063,0.045,0.064,0.071,0.083,0.065,0.071,0.072,0.0083153292521979
0.2,12,bin15,0.00959585261240506,0.0120793854442209,0.00959585261240532,0.00959585261240532,0.00959585261240529,0.00959585261240521,0.00959585261240531,0.0095958526124053,0.341,0.436,0.321,0.333,0.353,0.336,0.351,0.33,0.0143283197354415
0.2,12,bin14,-0.0130461206940625,-0.0713735337523861,-0.0130461206940606,-0.0130461206940606,-0.0130461206940606,-0.0130461206940606,-0.0130461206940606,-0.0130461206940606,0.567,0.762,0.577,0.576,0.557,0.567,0.587,0.565,0.00778435718300816
0.2,12,bin19,0.354431187506434,-0.153448062126967,0.354431187506434,0.354431187506434,0.354431187506434,0.354431187506434,0.354431187506434,0.354431187506434,0.009,0.83,0.012,0.01,0.006,0.014,0.006,0.011,0.00523963229320763
0.2,12,bin17,0.150949178306379,NA,0.15094917830638,0.15094917830638,0.15094917830638,0.15094917830638,0.15094917830638,0.15094917830638,0.12,NA,0.118,0.103,0.133,0.11,0.094,0.122,0.0068783846746891
0.2,12,bin16,0.101101122613026,0.107423015618427,0.101101122613028,0.101101122613028,0.101101122613028,0.101101122613028,0.101101122613028,0.101101122613028,0.116,0.133,0.108,0.111,0.104,0.111,0.104,0.12,0.0140237312950586
