"ID","Bin","TaxonRelativeAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1","Bin56",0.0327719155844156,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","uncultured bacterium"
"ASV2","Bin56",0.030661525974026,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","uncultured bacterium"
"ASV3","Bin56",0.0299229075496544,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","uncultured bacterium"
"ASV4","Bin56",0.0224837662337662,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","uncultured bacterium"
"ASV5","Bin56",0.0121043019480519,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","uncultured bacterium"
"ASV6","Bin56",0.011231737012987,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","uncultured bacterium"
"ASV7","Bin56",0.0105519480519481,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","uncultured bacterium"
"ASV8","Bin48",0.00681889436898979,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,"uncultured","uncultured bacterium"
"ASV9","Bin48",0.00580395868444533,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,"uncultured","uncultured bacterium"
"ASV10","Bin65",0.00479996100100968,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans","uncultured bacterium"
"ASV11","Bin99",0.00454810094181779,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","uncultured","uncultured bacterium"
"ASV12","Bin65",0.0043857463444115,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans","uncultured bacterium"
"ASV13","Bin65",0.0041817289203159,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans","uncultured bacterium"
"ASV14","Bin99",0.00370582184990582,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","uncultured","uncultured bacterium"
"ASV15","Bin61",0.00346529063928437,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax","uncultured bacterium"
"ASV17","Bin65",0.00306811642601171,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans","uncultured bacterium"
"ASV20","Bin26",0.00286790646327531,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured bacterium"
"ASV22","Bin50",0.00276103267941525,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured","uncultured bacterium"
"ASV23","Bin62",0.00163258764988986,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azospira","uncultured bacterium"
"ASV24","Bin62",0.00178676195788976,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azospira","uncultured bacterium"
"ASV25","Bin63",0.00252991526405346,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","uncultured","uncultured bacterium"
"ASV26","Bin26",0.00256817823543602,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured bacterium"
"ASV27","Bin26",0.00253527404551018,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured bacterium"
"ASV31","Bin4",0.00239772267683372,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured","uncultured bacterium"
"ASV32","Bin50",0.0023378418203378,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured","uncultured bacterium"
"ASV33","Bin1",0.00223505927194507,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","OLB15","uncultured bacterium"
"ASV34","Bin27",0.00226153052394055,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","uncultured bacterium"
"ASV35","Bin15",0.000662352646792688,"Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium","uncultured bacterium"
"ASV36","Bin64",0.000826525655856679,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Denitratisoma","oestradiolicum"
"ASV38","Bin1",0.00221884690703638,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","OLB15","uncultured bacterium"
"ASV39","Bin27",0.00214164129308196,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","uncultured bacterium"
"ASV41","Bin61",0.00223244184488994,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax","uncultured bacterium"
"ASV42","Bin90",0.00132036826307413,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudorhodoplanes","uncultured bacterium"
