#NAME	CaS3_S35_L001	CaS4_S47_L001	TgS1_S11_L001	TgS2_S23_L001	UpS5_S59_L001
Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; uncultured bacterium	0	0	0	3230	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; uncultured bacterium	0	0	0	3022	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; uncultured bacterium	12	0	0	2936	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; uncultured bacterium	0	0	0	2216	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; uncultured bacterium	0	0	0	1193	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; uncultured bacterium	0	0	0	1107	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; uncultured bacterium	0	0	0	1040	0
Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; NA; uncultured; uncultured bacterium	0	0	549	82	0
Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; NA; uncultured; uncultured bacterium	0	0	455	83	0
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Gallionellaceae; Sideroxydans; uncultured bacterium	73	111	241	18	0
Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae; uncultured; uncultured bacterium	45	0	371	0	0
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Gallionellaceae; Sideroxydans; uncultured bacterium	57	66	237	46	0
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Gallionellaceae; Sideroxydans; uncultured bacterium	76	78	230	0	0
Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae; uncultured; uncultured bacterium	0	0	284	60	0
Bacteria; Bdellovibrionota; Bdellovibrionia; Bacteriovoracales; Bacteriovoracaceae; Bacteriovorax; uncultured bacterium	265	0	0	50	0
Bacteria; Acidobacteriota; Holophagae; Holophagales; Holophagaceae; uncultured; uncultured bacterium	0	0	0	0	283
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Gallionellaceae; Sideroxydans; uncultured bacterium	52	63	167	0	0
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Denitratisoma; uncultured bacterium	0	0	0	0	266
Bacteria; Acidobacteriota; Holophagae; Holophagales; Holophagaceae; uncultured; uncultured bacterium	0	0	0	0	263
Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; uncultured; uncultured bacterium	183	78	0	0	0
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; uncultured; uncultured bacterium	0	0	0	0	261
Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; uncultured; uncultured bacterium	54	204	0	0	0
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Azospira; uncultured bacterium	42	110	0	0	98
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Azospira; uncultured bacterium	0	96	0	76	74
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC-I-84; uncultured; uncultured bacterium	46	54	86	50	0
Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; uncultured; uncultured bacterium	177	56	0	0	0
Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; uncultured; uncultured bacterium	175	55	0	0	0
Bacteria; Acidobacteriota; Holophagae; Holophagales; Holophagaceae; uncultured; uncultured bacterium	0	0	0	0	230
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Denitratisoma; uncultured bacterium	0	0	0	0	228
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; uncultured; uncultured bacterium	0	0	0	0	226
Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; uncultured; uncultured bacterium	85	105	31	0	0
Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; uncultured; uncultured bacterium	54	164	0	0	0
Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; OLB15; uncultured bacterium	150	53	0	0	9
Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Terrimonas; uncultured bacterium	61	56	32	63	0
Bacteria; Bacteroidota; Ignavibacteria; Ignavibacteriales; Ignavibacteriaceae; Ignavibacterium; uncultured bacterium	11	51	0	0	146
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Denitratisoma; oestradiolicum	0	39	24	15	129
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Denitratisoma; uncultured bacterium	0	0	0	0	207
Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; OLB15; uncultured bacterium	104	100	0	0	0
Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Terrimonas; uncultured bacterium	18	60	63	61	0
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; uncultured; uncultured bacterium	0	0	0	0	201
Bacteria; Bdellovibrionota; Bdellovibrionia; Bacteriovoracales; Bacteriovoracaceae; Bacteriovorax; uncultured bacterium	200	0	0	0	0
Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudorhodoplanes; uncultured bacterium	40	29	52	0	79
Bacteria; Bacteroidota; Ignavibacteria; Ignavibacteriales; Ignavibacteriaceae; Ignavibacterium; uncultured bacterium	0	39	0	0	151
Bacteria; Planctomycetota; Planctomycetes; Pirellulales; Pirellulaceae; Pir4 lineage; uncultured bacterium	35	73	46	33	0
Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Ottowia; uncultured bacterium	0	54	0	85	48
Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured; uncultured bacterium	0	0	0	0	187
Bacteria; Acidobacteriota; Holophagae; Holophagales; Holophagaceae; uncultured; uncultured bacterium	0	0	0	0	182
Bacteria; Proteobacteria; Gammaproteobacteria; HOC36; NA; uncultured; uncultured bacterium	84	97	0	0	0
Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; uncultured; uncultured bacterium	49	132	0	0	0
